Kanzlei-Rechnungswesen mbH - Summen- und Saldenliste - SUSA Jahresübersicht Dezember;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Konto;Beschriftung;EB-Wert;S;H;Jan/2016;S;H;Feb/2016;S;H;Mrz/2016;S;H;Apr/2016;S;H;Mai/2016;S;H;Jun/2016;S;H;Jul/2016;S;H;Aug/2016;S;H;Sep/2016;S;H;Okt/2016;S;H;Nov/2016;S;H;Dez/2016;S;H;Gesamtsaldo;S;H
3151 03;Account 3151 03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;288.147,13;S;;288.147,13;S;
3300 00;Account 3300 00;353.483,84;;H;200.911,37;;H;21.488,08;;H;259.032,17;S;;2.665.560,34;;H;2.551.602,20;S;;53.897,46;S;;211.531,53;S;;12.935,35;;H;841.085,50;S;;692.719,42;;H;661.036,70;;H;192.239,90;S;;498.746,34;;H
3349 00;Account 3349 00;;;;;;;;;;;;;;;;;;;;;;59.929,00;S;;;;;;;;110.956,22;S;;;;;;;;170.885,22;S;
3400 00;Account 3400 00;;;;8.578,35;;H;16.887,53;;H;13.901,45;;H;;;;12.451,41;;H;81.818,74;S;;28.075,70;;H;25.000,00;S;;20.000,00;S;;46.924,30;;H;;;;8.260,76;S;;8.260,76;S;
3401 00;Account 3401 00;27.000,00;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.000,00;;H
3401 01;Account 3401 01;477,75;;H;;;;;;;438,75;;H;;;;292,5;;H;146,25;;H;146,25;;H;146,25;;H;146,25;;H;146,25;;H;146,25;;H;146,25;;H;2.232,75;;H
3420 00;Account 3420 00;;;;;;;;;;;;;;;;;;;;;;40.800,00;;H;;;;;;;40.800,00;S;;;;;;;;0;;
3420 01;Account 3420 01;;;;;;;;;;;;;;;;;;;;;;13.174,91;;H;;;;;;;926,43;;H;;;;;;;14.101,34;;H
3420 02;Account 3420 02;;;;;;;;;;;;;;;;;;;;;;5.954,09;;H;;;;;;;150.829,79;;H;;;;;;;156.783,88;;H
3564 00;Account 3564 00;;;;4.241.221,49;;H;;;;654.319,17;;H;;;;;;;;;;;;;;;;;;;;;;;;;4.895.540,66;S;;0;;
3564 01;Account 3564 01;;;;;;;;;;75.251,16;;H;;;;27.537,42;;H;102.788,58;S;;27.537,42;;H;27.537,42;;H;27.537,42;;H;27.537,42;;H;27.537,42;;H;20.194,14;;H;157.881,24;;H
3564 50;Account 3564 50;;;;;;;;;;;;;;;;;;;;;;;;;1.355.297,87;;H;;;;;;;;;;1.355.297,87;S;;0;;
3564 51;Account 3564 51;;;;;;;;;;;;;;;;;;;;;;;;;5.590,60;;H;7.623,55;;H;7.623,55;;H;7.623,55;;H;30.494,21;S;;2.032,96;S;
3565 00;Account 3565 00;;;;;;;;;;366.765,94;;H;;;;2.800.659,58;;H;;;;;;;;;;;;;150.829,79;;H;;;;3.318.255,31;S;;0;;
3565 01;Account 3565 01;;;;;;;;;;2.063,06;;H;;;;34.614,22;;H;17.816,77;;H;17.816,77;;H;17.816,77;;H;17.816,77;;H;21.210,44;;H;18.665,19;;H;152.797,40;S;;4.977,41;S;
3566 00;Account 3566 00;;;;;;;;;;810.574,47;;H;;;;;;;;;;;;;;;;;;;;;;;;;531.914,89;S;;278.659,58;;H
3566 01;Account 3566 01;;;;;;;;;;3.343,62;;H;;;;9.118,96;;H;12.462,58;S;;4.559,48;;H;4.559,48;;H;4.559,48;;H;4.559,48;;H;4.559,48;;H;3.761,61;;H;26.559,01;;H
3566 02;Account 3566 02;;;;;;;;;;;;;;;;635.872,34;;H;;;;;;;;;;;;;;;;;;;635.872,34;S;;0;;
3566 03;Account 3566 03;;;;;;;;;;;;;;;;2.603,48;;H;2.603,48;S;;3.576,78;;H;3.576,78;;H;3.576,78;;H;3.576,78;;H;3.576,78;;H;2.622,97;;H;20.506,87;;H
3566 04;Account 3566 04;;;;;;;;;;;;;;;;844.212,77;;H;;;;;;;;;;;;;;;;;;;591.914,89;S;;252.297,88;;H
3566 05;Account 3566 05;;;;;;;;;;;;;;;;1.999,21;;H;1.999,21;S;;4.748,70;;H;4.748,70;;H;4.748,70;;H;4.748,70;;H;4.748,70;;H;3.950,83;;H;27.694,33;;H
3566 06;Account 3566 06;;;;;;;;;;;;;;;;;;;1.055.808,51;;H;;;;;;;;;;;;;;;;;;;1.055.808,51;;H
3566 07;Account 3566 07;;;;;;;;;;;;;;;;;;;0;;;5.938,92;;H;5.938,92;;H;5.938,92;;H;5.938,92;;H;5.938,92;;H;5.938,92;;H;35.633,52;;H
3566 08;Account 3566 08;;;;;;;;;;;;;;;;;;;39.543,26;S;;39.543,26;;H;;;;;;;;;;111.775,80;S;;;;;111.775,80;S;
3566 10;Account 3566 10;;;;;;;;;;;;;;;;;;;;;;;;;1.059.063,83;;H;;;;;;;;;;;;;1.059.063,83;;H
3566 11;Account 3566 11;;;;;;;;;;;;;;;;;;;;;;;;;1.291,18;;H;1.291,18;;H;10.623,28;;H;5.957,23;;H;5.957,23;;H;25.120,10;;H
3566 12;Account 3566 12;;;;;;;;;;;;;;;;;;;;;;;;;;;;500.000,00;;H;208.900,00;;H;;;;;;;708.900,00;;H
3566 13;Account 3566 13;;;;;;;;;;;;;;;;;;;;;;;;;;;;199,47;;H;4.283,76;;H;4.242,09;;H;4.242,09;;H;12.967,41;;H
3566 20;Account 3566 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;
3566 21;Account 3566 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,77;;H;9,77;;H
3566 22;Account 3566 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;
3566 23;Account 3566 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,45;;H;14,45;;H
3566 24;Account 3566 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;
3566 25;Account 3566 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31,74;;H;31,74;;H
3695 00;Account 3695 00;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;
3806 00;Account 3806 00;;;;9.862,42;;H;19.003,47;;H;30.401,48;;H;31.352,44;;H;34.367,16;;H;26.755,86;;H;26.930,39;;H;21.150,59;;H;32.820,18;;H;39.225,83;;H;42.915,29;;H;40.958,91;;H;355.744,02;;H
3820 00;Account 3820 00;;;;8.578,35;S;;16.887,53;S;;23.763,87;S;;;;;12.451,41;S;;;;;58.195,65;S;;;;;;;;46.329,37;S;;;;;31.929,10;S;;198.135,28;S;
3837 00;Account 3837 00;;;;6.201,47;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.201,47;;H
4000 00;Account 4000 00;;;;;;;696;;H;1.264,00;;H;920;;H;1.144,00;;H;1.080,00;;H;1.648,00;;H;1.760,00;;H;1.968,00;;H;1.712,00;;H;2.016,00;;H;1.704,00;;H;15.912,00;;H
4200 01;Account 4200 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.416,00;;H;4.416,00;;H
4400 50;Account 4400 50;;;;51.907,48;;H;52.254,19;;H;69.252,23;;H;99.558,41;;H;98.810,40;;H;109.688,40;;H;132.879,55;;H;99.570,96;;H;138.368,03;;H;142.132,49;;H;153.373,44;;H;156.167,12;;H;1.303.962,70;;H
4400 51;Account 4400 51;;;;;;;47.761,80;;H;90.750,92;;H;65.451,55;;H;82.065,72;;H;31.130,83;;H;8.859,59;;H;11.747,80;;H;28.994,94;;H;64.319,79;;H;72.501,88;;H;59.411,48;;H;562.996,30;;H
4400 54;Account 4400 54;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.376,47;;H;;;;5.376,47;S;;;;;0;;
4690 00;Account 4690 00;;;;;;;;;;11,86;;H;;;;;;;;;;11,86;S;;;;;;;;;;;;;;;;;0;;
4691 00;Account 4691 00;;;;;;;;;;197,5;;H;209,67;;H;;;;;;;;;;209,67;S;;518,52;;H;;;;;;;315;;H;1.031,02;;H
4839 00;Account 4839 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;;H;;;;;;;0,8;;H
4845 00;Account 4845 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.376,47;;H;;;;5.376,47;;H
4855 00;Account 4855 00;;;;;;;;;;;;;5.585,00;S;;;;;;;;5.585,00;;H;;;;;;;9.142,00;S;;;;;;;;9.142,00;S;
4930 00;Account 4930 00;;;;;;;;;;;;;;;;;;;;;;9.328,70;;H;;;;;;;;;;;;;;;;9.328,70;;H
4970 00;Account 4970 00;;;;324;;H;634;;H;;;;3.334,00;;H;2.556,00;;H;;;;1.728,97;;H;3.457,00;;H;2.789,00;;H;3.076,00;;H;4.887,00;;H;3.348,00;;H;26.133,97;;H
4970 01;Account 4970 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.734,62;;H;466,9;;H;;;;225,12;;H;3.426,64;;H
4970 02;Account 4970 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;S;;3,97;;H;0,21;S;;;;;2,96;;H
4970 03;Account 4970 03;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.000,00;;H;;;;;;;;;;12.000,00;;H
5900 00;Account 5900 00;;;;;;;5.492,25;S;;7.835,25;S;;9.058,50;S;;9.908,25;S;;10.701,75;S;;11.973,75;S;;10;S;;41.652,25;;H;13.327,50;;H;;;;;;;0;;
5900 01;Account 5900 01;;;;;;;28.069,14;S;;109.960,08;S;;73.885,94;S;;70.823,71;S;;42.711,29;S;;4.932,89;S;;330.383,05;;H;;;;;;;;;;;;;0;;
5900 02;Account 5900 02;;;;;;;113;S;;420;S;;516;S;;892;S;;637;S;;9.378,00;S;;1.956,00;S;;1.696,00;S;;5.856,00;S;;3.736,00;S;;3.278,00;S;;28.478,00;S;
5900 06;Account 5900 06;;;;;;;;;;;;;;;;;;;;;;35.074,84;S;;4.137,00;S;;9.407,93;S;;11.264,93;;H;;;;;;;37.354,84;S;
5900 81;Account 5900 81;;;;;;;;;;;;;;;;;;;;;;2.937,00;S;;340.123,89;S;;29.960,34;S;;14.687,70;;H;0;;;;;;358.333,53;S;
5900 84;Account 5900 84;;;;;;;;;;;;;;;;;;;;;;;;;12.360,75;S;;69.633,41;S;;14.434,09;S;;16.927,50;S;;18.515,80;S;;131.871,55;S;
5900 87;Account 5900 87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55.718,96;S;;93.395,73;S;;73.593,06;S;;222.707,75;S;
5906 00;Account 5906 00;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;14.434,57;;H;14.434,57;S;;;;;;;;0;;
5906 01;Account 5906 01;;;;1.809,68;S;;3.300,00;S;;3.300,00;S;;95.300,00;S;;3.300,00;S;;;;;330;S;;;;;;;;5.492,00;S;;2.280,00;S;;;;;115.111,68;S;
5906 02;Account 5906 02;;;;2.250,00;S;;2.250,00;S;;2.250,00;S;;;;;;;;;;;6.750,00;S;;;;;;;;;;;;;;;;;13.500,00;S;
5906 03;Account 5906 03;;;;;;;;;;;;;;;;4.000,00;S;;;;;;;;12.199,08;S;;;;;4.794,02;S;;1.624,27;S;;;;;22.617,37;S;
5965 00;Account 5965 00;;;;;;;;;;;;;;;;3.810,96;S;;;;;;;;;;;;;;;;;;;;;;;3.810,96;S;
6220 00;Account 6220 00;;;;26.444,15;S;;29.084,67;S;;41.526,61;S;;60.022,00;S;;66.032,27;S;;71.637,43;S;;78.782,09;S;;86.738,12;S;;92.584,83;S;;98.799,29;S;;107.556,57;S;;115.556,81;S;;874.764,84;S;
6300 00;Account 6300 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;900;S;;;;;;;;900;S;
6300 01;Account 6300 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;250;S;;;;;;;;250;S;
6300 02;Account 6300 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.000,00;S;;;;;;;;;;;6.000,00;S;
6300 88;Account 6300 88;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,61;S;;;;;;;;;;;36,61;S;
6304 00;Account 6304 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,84;S;;;;;;;;0,84;S;
6400 00;Account 6400 00;;;;5.355,00;S;;;;;;;;;;;;;;58.939,80;S;;6.457,73;S;;12.020,98;S;;1.975,40;S;;75.231,04;S;;12.288,64;S;;37.516,66;S;;209.785,25;S;
6420 00;Account 6420 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;S;;;;;150;S;
6460 00;Account 6460 00;;;;;;;19.241,47;S;;12.985,00;S;;;;;;;;;;;32.226,47;;H;;;;;;;;;;;;;;;;0;;
6825 00;Account 6825 00;;;;270.932,28;S;;22.866,28;S;;21.236,37;S;;2.334,00;S;;2.250,00;S;;7.760,00;S;;230.363,87;;H;2.250,00;S;;4.830,00;S;;25.951,89;S;;39.146,00;S;;238.384,21;S;;407.577,16;S;
6825 01;Account 6825 01;;;;;;;;;;;;;;;;35.700,00;S;;;;;5.700,00;;H;;;;;;;;;;30.000,00;S;;18.750,00;S;;78.750,00;S;
6827 00;Account 6827 00;;;;;;;;;;;;;165;S;;;;;165;;H;19.000,00;S;;;;;206.669,60;S;;18.954,05;S;;150;S;;26;S;;244.799,65;S;
6827 80;Account 6827 80;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.384,80;S;;;;;;;;;;;29.384,80;S;
6827 89;Account 6827 89;;;;;;;;;;;;;;;;;;;;;;;;;;;;58.769,60;S;;;;;;;;;;;58.769,60;S;
6830 00;Account 6830 00;;;;211,23;S;;211,23;;H;;;;1.764,10;S;;;;;;;;;;;7.385,05;S;;;;;;;;1.960,00;S;;;;;11.109,15;S;
6855 00;Account 6855 00;;;;17.644,32;S;;15.605,30;S;;16.849,69;S;;302,11;S;;401,75;S;;639,58;S;;48.148,29;;H;499,81;S;;753,24;S;;592,05;S;;343,27;S;;764,05;S;;6.246,88;S;
6855 01;Account 6855 01;;;;138,15;S;;177,48;S;;406,46;S;;1.067,39;S;;1.059,37;S;;891,23;S;;1.084,30;S;;696,17;S;;1.237,25;S;;1.473,21;S;;1.251,58;S;;2.450,70;S;;11.933,29;S;
6855 02;Account 6855 02;;;;;;;;;;2.210,66;S;;;;;;;;;;;8.560,10;S;;;;;;;;27.920,95;S;;;;;;;;38.691,71;S;
6855 03;Account 6855 03;;;;2.527,78;S;;4.694,44;S;;2.618,06;S;;2.798,61;S;;2.888,89;S;;2.618,06;S;;946,36;S;;2.888,89;S;;;;;2.380,11;S;;1.108,66;S;;1.976,64;S;;27.446,50;S;
6855 04;Account 6855 04;;;;6.531,00;S;;5.684,19;S;;4.436,95;S;;3.067,96;S;;2.259,64;S;;2.047,80;S;;1.857,24;;H;173,54;S;;2.871,02;S;;;;;;;;;;;25.214,86;S;
6855 05;Account 6855 05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152.500,00;S;;152.500,00;S;
6855 06;Account 6855 06;;;;;;;;;;;;;;;;;;;;;;83.461,53;S;;;;;;;;44.279,45;S;;;;;;;;127.740,98;S;
6855 10;Account 6855 10;;;;;;;;;;;;;;;;;;;5;S;;5;S;;;;;;;;;;;5;S;;;;;15;S;
6895 00;Account 6895 00;;;;;;;;;;;;;;;;;;;;;;5.585,00;S;;;;;35.672,00;S;;13.125,00;S;;97.696,86;S;;24.679,00;S;;176.757,86;S;
6960 00;Account 6960 00;;;;1.317,41;S;;;;;;;;;;;;;;;;;1.317,41;;H;;;;;;;;;;98.839,47;S;;;;;98.839,47;S;
7310 00;Account 7310 00;;;;;;;;;;0,26;S;;;;;;;;0,26;;H;;;;;;;;;;;;;;;;;;;0;;
7320 00;Account 7320 00;;;;2.181,86;S;;10.244,21;S;;93.761,69;S;;;;;76.165,79;S;;89.137,73;S;;139.747,26;S;;71.206,10;S;;73.438,52;S;;162.189,06;S;;82.995,61;S;;66.148,36;S;;867.216,19;S;
9000 00;Account 9000 00;353.483,84;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;353.483,84;;H
9009 00;Account 9009 00;353.483,84;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;353.483,84;S;
